统计年份,交易天数,上市公司总数,新上市公司数,上市证券总数,股票发行数量(亿股),股票流通数量(亿股),股票市价总值(亿元),股票流通市值(亿元),股票成交金额(亿元),集资总额(亿元),平均市盈率(A股),上证综合指数(收盘),投资者户数(万户),流通市值占比,流通股本占比,日均成交金额,户均市值(万元),证券化率,上市公司总数_YoY,股票市价总值(亿元)_YoY,股票成交金额(亿元)_YoY,投资者户数(万户)_YoY,上证综合指数(收盘)_YoY,上证综合指数(收盘)_lag1,平均市盈率(A股)_lag1,股票成交金额(亿元)_lag1,股票市价总值(亿元)_lag1,上证综合指数(收盘)_lag2,平均市盈率(A股)_lag2,股票成交金额(亿元)_lag2,股票市价总值(亿元)_lag2,上证综合指数(收盘)_lag3,平均市盈率(A股)_lag3,股票成交金额(亿元)_lag3,股票市价总值(亿元)_lag3,上证综合指数(收盘)_MA3,上证综合指数(收盘)_MA3_ratio,平均市盈率(A股)_MA3,平均市盈率(A股)_MA3_ratio,股票成交金额(亿元)_MA3,股票成交金额(亿元)_MA3_ratio,上证综合指数(收盘)_MA5,上证综合指数(收盘)_MA5_ratio,平均市盈率(A股)_MA5,平均市盈率(A股)_MA5_ratio,股票成交金额(亿元)_MA5,股票成交金额(亿元)_MA5_ratio,指数波动率,市盈率波动率,指数年涨跌,指数年涨跌幅,市场状态,市盈率历史分位,成交额市值比,换手率估算,下年指数涨跌,下年指数涨跌幅,下年市场状态,下年是否上涨,下年趋势
2008,246,864,6,1184,15410.39,4916.04,97251.91,32305.91,179762.44,2236.85,14.86,1820.81,6395.46,0.3321879230958035,0.3190081496964061,730.7416260162602,15.20639797606427,0.9725191000000001,0.46511627906977715,-63.9592657647877,-40.46818540278922,12.731483929647913,-65.3941036498681,5261.56,59.24,301960.29,269838.87,2675.47,33.3,57816.6,71612.38,1161.06,16.33,19240.21,23096.13,3252.6133333333332,0.5597990948816541,35.800000000000004,0.4150837988826815,179846.44333333336,0.999532916349212,2437.08,0.7471277102105799,29.592000000000002,0.5021627466882941,117050.028,1.5357744297164968,1791.510804051523,22.29537171701786,-3440.7500000000005,-65.3941036498681,强熊市,20.0,1.8484206634090785,184.84206634090785,1456.33,79.98253524530293,强牛市,1,2.0
2009,244,870,9,1351,16659.96,11578.56,184655.23,114805.0,345443.26,3343.15,28.73,3277.14,7255.03,0.6217262300125482,0.6949932652899526,1415.7510655737706,25.452028454741054,1.8465523000000001,0.694444444444442,89.8731140601763,92.16653935048946,13.44031547378921,79.98253524530293,1820.81,14.86,179762.44,97251.91,5261.56,59.24,301960.29,269838.87,2675.47,33.3,57816.6,71612.38,3453.17,0.9490236507325153,34.276666666666664,0.8381795195954489,275721.99666666664,1.252867976353815,2839.208,1.154244423092637,30.492,0.9422143513052604,180844.56,1.910166719972113,1727.1161111228166,22.70396955013227,1456.33,79.98253524530293,强牛市,66.66666666666666,1.870747229851004,187.0747229851004,-469.05999999999995,-14.313090072441215,熊市,0,0.0
2010,242,894,25,1417,17988.12,14246.37,179007.24,142845.84,303690.98,5530.52,21.61,2808.08,8104.49,0.797989176303707,0.7919877118898474,1254.9214049586776,22.087415741150892,1.7900724,2.758620689655178,-3.0586677669514284,-12.086581165312072,11.708566332599602,-14.313090072441215,3277.14,28.73,345443.26,184655.23,1820.81,14.86,179762.44,97251.91,5261.56,59.24,301960.29,269838.87,2635.3433333333332,1.065546171719561,21.733333333333334,0.9943251533742331,276298.8933333333,1.099139328197092,3168.612,0.8862176877446655,31.548000000000002,0.6849879548624318,237734.714,1.2774364117475918,743.3725406775084,6.935822469854109,-469.05999999999995,-14.313090072441215,熊市,42.857142857142854,1.6965290342446484,169.65290342446485,-608.6599999999999,-21.6753083957722,熊市,0,0.0
2011,244,931,37,1528,19549.47,16199.53,148376.48,122851.27,237562.87,3897.98,13.26,2199.42,8820.63,0.8279699720602618,0.8286429248465559,973.6183196721312,16.82152862097152,1.4837648,4.138702460850108,-17.11146431842644,-21.774802136039728,8.83633640118009,-21.6753083957722,2808.08,21.61,303690.98,179007.24,3277.14,28.73,345443.26,184655.23,1820.81,14.86,179762.44,97251.91,2761.5466666666666,0.7964449873500841,21.2,0.6254716981132076,295565.7033333333,0.8037565499677788,3073.4019999999996,0.7156304316844982,27.54,0.4814814814814815,273683.968,0.8680189480444832,540.3647961639746,7.743145355732373,-608.6599999999999,-21.6753083957722,熊市,12.5,1.6010817213078514,160.10817213078514,69.71000000000004,3.1694719516963676,震荡,1,1.0
2012,243,954,26,2098,24617.62,19521.33,158698.44,134294.45,164547.7,2515.72,12.3,2269.13,9608.08,0.8462241342763043,0.7929820185704387,677.1510288065845,16.517185535507615,1.5869844,2.470461868958118,6.956601207954249,-30.735093409167845,8.927366866085528,3.1694719516963676,2199.42,13.26,237562.87,148376.48,2808.08,21.61,303690.98,179007.24,3277.14,28.73,345443.26,184655.23,2425.5433333333335,0.935514104743542,15.723333333333334,0.7822768708925164,235267.18333333335,0.699407786792194,2474.916,0.9168513193983149,18.151999999999997,0.6776112825033056,246201.45,0.6683457794419976,333.11499070641344,5.120550100656478,69.71000000000004,3.1694719516963676,震荡,11.11111111111111,1.0368577032011153,103.68577032011153,-153.1500000000001,-6.749282764760068,震荡,0,1.0
2013,238,953,1,2786,25751.69,23731.13,151165.27,136526.38,230614.82,1030.0,10.99,2115.98,10437.15,0.903159700637587,0.9215368001090415,968.9698319327731,14.483385790182187,1.5116527,-0.10482180293500676,-4.746845652673093,40.150740484370175,8.628883189981762,-6.749282764760068,2269.13,12.3,164547.7,158698.44,2199.42,13.26,237562.87,148376.48,2808.08,21.61,303690.98,179007.24,2194.8433333333337,0.9640688097707808,12.183333333333332,0.9020519835841314,210908.46333333335,1.0934355898061874,2533.95,0.835051993922532,17.378000000000004,0.6324087927264356,256371.92599999998,0.8995322678193712,76.6775066974283,1.1394881892029667,-153.1500000000001,-6.749282764760068,震荡,10.0,1.525580710436994,152.5580710436994,1118.6999999999998,52.86911974593331,强牛市,1,2.0
2014,245,995,43,3758,27085.17,24914.59,243974.02,220495.87,1281497.98,3962.59,15.99,3234.68,11840.76,0.9037678274104759,0.9198609423533248,5230.604,20.60459125934484,2.4397401999999997,4.407135362014691,61.39555071082135,455.6876093218987,13.448211437030233,52.86911974593331,2115.98,10.99,230614.82,151165.27,2269.13,12.3,164547.7,158698.44,2199.42,13.26,237562.87,148376.48,2539.93,1.2735311603075676,13.093333333333334,1.2212321792260692,558886.8333333334,2.2929471649150197,2525.458,1.2808290615009237,14.830000000000002,1.0782198246797032,443582.86999999994,2.888970847769663,606.5244450968158,2.592688437381758,1118.6999999999998,52.86911974593331,强牛市,45.45454545454545,5.252600174395618,525.2600174395618,304.5,9.413605055214113,震荡,1,1.0
2015,244,1081,90,4631,29542.65,26757.86,293110.44,253633.28,2662867.72,3591.56,17.62,3539.18,12981.24,0.8653164315812156,0.9057366214608371,10913.392295081969,22.579540937537555,2.9311044,8.643216080402016,20.14002146622005,107.793360704322,9.63181417409018,9.413605055214113,3234.68,15.99,1281497.98,243974.02,2115.98,10.99,230614.82,151165.27,2269.13,12.3,164547.7,158698.44,2963.28,1.194345455036311,14.866666666666667,1.1852017937219732,1391660.1733333336,1.9134468105254774,2671.678,1.3247030517899239,14.032,1.2557012542759407,915418.218,2.908908373942805,749.411789338812,3.454798595190908,304.5,9.413605055214113,震荡,58.333333333333336,9.084861392176956,908.4861392176956,-435.53999999999996,-12.306240428573844,熊市,0,0.0
2016,244,1182,103,5704,31883.19,29247.71,284373.78,226421.85,505823.55,3068.52,15.91,3103.64,14050.51,0.7962121191341902,0.9173395133924805,2073.0473360655737,20.23939202206895,2.8437378000000004,9.3432007400555,-2.980671722235473,-81.00455587031563,8.237040529256067,-12.306240428573844,3539.18,17.62,2662867.72,293110.44,3234.68,15.99,1281497.98,243974.02,2115.98,10.99,230614.82,151165.27,3292.5,0.9426393318147304,16.506666666666664,0.963852988691438,1483396.4166666667,0.34099013879016493,2852.522,1.0880336768655947,14.562000000000001,1.092569701964016,969070.354,0.5219678302118402,223.4527627933918,0.9650043177794989,-435.53999999999996,-12.306240428573844,熊市,38.46153846153847,1.7787278067619312,177.87278067619312,203.5300000000002,6.557783763580827,震荡,1,1.0
2017,244,1396,214,12219,35288.35,31119.45,331324.82,281365.67,536410.75,7578.06,18.22,3307.17,15487.86,0.8492139828220535,0.881861860925773,2198.404713114754,21.39255003596365,3.3132482,18.10490693739424,16.510326655291486,6.047009871327669,10.229877776678563,6.557783763580827,3103.64,15.91,505823.55,284373.78,3539.18,17.62,2662867.72,293110.44,3234.68,15.99,1281497.98,243974.02,3316.6633333333334,0.9971376855655131,17.25,1.056231884057971,1235034.0066666668,0.43432872868639655,3060.13,1.0807285964975344,15.746,1.1571192683856217,1043442.964,0.5140776913610009,217.9251372222423,1.198624211335538,203.5300000000002,6.557783763580827,震荡,64.28571428571429,1.6189875240858804,161.89875240858805,-813.27,-24.591115666869257,熊市,0,0.0
2018,243,1450,57,14069,37708.96,33497.24,269515.01,232698.75,400358.11,7338.96,11.0,2493.9,16755.36,0.8633981090700662,0.8883098340553545,1647.5642386831275,16.085301061869156,2.6951501,3.86819484240688,-18.655351567081514,-25.36351853500326,8.18382914101754,-24.591115666869257,3307.17,18.22,536410.75,331324.82,3103.64,15.91,505823.55,284373.78,3539.18,17.62,2662867.72,293110.44,2968.236666666666,0.8401958064889257,15.043333333333331,0.7312209173498783,480864.13666666654,0.8325805138542218,3135.714,0.7953212569768799,15.748000000000001,0.698501397002794,1077391.622,0.3715994275663673,423.2051160292527,3.6871985752510077,-813.27,-24.591115666869257,熊市,13.333333333333334,1.4854761150408653,148.54761150408652,556.2199999999998,22.30321985644972,牛市,1,2.0
2019,244,1572,125,17623,40199.42,35170.22,355519.7,301254.52,496086.35,5145.33,14.13,3050.12,17947.2,0.8473637888420811,0.8748937173720418,2033.1407786885245,19.809201435321388,3.555197,8.413793103448274,31.910909154929822,23.91065338978646,7.1131864668977585,22.30321985644972,2493.9,11.0,400358.11,269515.01,3307.17,18.22,536410.75,331324.82,3103.64,15.91,505823.55,284373.78,2950.396666666667,1.0337999749186266,14.450000000000001,0.9778546712802768,477618.40333333315,1.0386667400958123,3098.802,0.9842900578997947,15.376,0.918964620187305,920309.2960000001,0.5390430718848241,415.7049201456885,3.6206214936112455,556.2199999999998,22.30321985644972,牛市,31.25,1.3953835750874002,139.53835750874,422.9500000000003,13.86666754094923,牛市,1,2.0
2020,242,1801,234,23387,43251.02,38155.06,453001.12,363043.66,835246.69,5540.86,15.92,3473.07,19643.99,0.8014189015691616,0.8821771139732658,3451.432603305785,23.06054523546387,4.5300112,14.567430025445294,27.419414451576095,68.36719857339352,9.45434385308015,13.86666754094923,3050.12,14.13,496086.35,355519.7,2493.9,11.0,400358.11,269515.01,3307.17,18.22,536410.75,331324.82,3005.6966666666667,1.1554958417848775,13.683333333333332,1.1634591961023144,577230.3833333332,1.4469901691187834,3085.58,1.1255809280589064,15.036000000000001,1.0587922319765894,554785.0900000001,1.5055319709475246,491.09423396465706,2.4902275665756046,422.9500000000003,13.86666754094923,牛市,47.05882352941176,1.8438071190640763,184.38071190640764,166.71000000000004,4.8000760134405684,震荡,1,1.0
2021,242,2037,250,26989,46237.02,40422.36,519698.34,435466.31,1140006.46,8335.93,16.49,3639.78,21734.31,0.8379213025771834,0.8742423279008898,4710.770495867769,23.91142575954792,5.196983400000001,13.103831204886184,14.723411721366176,36.487396316410425,10.641015394530328,4.8000760134405684,3473.07,15.92,835246.69,453001.12,3050.12,14.13,496086.35,355519.7,2493.9,11.0,400358.11,269515.01,3387.656666666667,1.0744241102748506,15.513333333333334,1.0629565964761494,823779.8333333331,1.3838727459339362,3192.808,1.1399933851330866,15.152000000000001,1.0883051742344243,681621.672,1.672491510803958,303.9676085265226,1.2314354767234303,166.71000000000004,4.8000760134405684,震荡,61.111111111111114,2.193592652229753,219.3592652229753,-550.52,-15.1250899779657,熊市,0,0.0
2022,242,2174,155,30110,47669.61,42243.38,463786.76,398185.34,962556.27,8477.18,12.78,3089.26,24946.53,0.8585526244863049,0.8861700357942932,3977.505247933884,18.591233329845874,4.6378676,6.7255768286696105,-10.758468075922668,-15.565717934615908,14.779489203936059,-15.1250899779657,3639.78,16.49,1140006.46,519698.34,3473.07,15.92,835246.69,453001.12,3050.12,14.13,496086.35,355519.7,3400.7033333333334,0.9084179645191044,15.063333333333333,0.8484177915468024,979269.8066666665,0.9829326539500307,3149.226,0.9809584958335794,14.064000000000002,0.9087030716723548,766850.7760000002,1.255206749637559,282.3043896813033,1.997857185419685,-550.52,-15.1250899779657,熊市,21.052631578947366,2.0754285223666153,207.54285223666153,-114.33000000000038,-3.700886296394623,震荡,0,1.0
2023,242,2263,103,33725,49074.46,45171.74,463127.23,417697.78,893628.45,6076.62,11.92,2974.93,33816.66,0.9019071929758914,0.9204735008800912,3692.6795454545454,13.695238678213636,4.6312723,4.093836246550131,-0.14220543941358965,-7.160913304320382,35.55656838846928,-3.700886296394623,3089.26,12.78,962556.27,463786.76,3639.78,16.49,1140006.46,519698.34,3473.07,15.92,835246.69,453001.12,3234.656666666667,0.9197050279421719,13.729999999999999,0.8681718863801895,998730.3933333332,0.8947644489094319,3245.432,0.9166514658141043,14.248000000000001,0.8366086468276248,865504.8440000002,1.0324938747540964,355.47366095581987,2.4286004199949662,-114.33000000000038,-3.700886296394623,震荡,15.0,1.9295528142450185,192.95528142450183,376.8300000000004,12.666852665440874,牛市,1,2.0
